claim_number;age_of_driver;gender;marital_status;safty_rating;annual_income;high_education_ind;address_change_ind;living_status;zip_code;claim_date;claim_day_of_week;accident_site;past_num_of_claims;witness_present_ind;liab_prct;channel;policy_report_filed_ind;claim_est_payout;age_of_vehicle;vehicle_category;vehicle_price;vehicle_color;vehicle_weight;fraud
745;55;F;1.0;87;40077;1;0;Own;85003;10/27/2015;Tuesday;Local;0;0.0;8;Online;0;23.152.802.100.000.000;4.0;Large;27.856.214.439.999.900;white;37.580.428.810.000.000;0
746;27;M;1.0;73;32967;1;0;Own;20149;3/18/2016;Friday;Local;1;0.0;3;Online;1;4.797.061.573;5.0;Compact;244.034.227;gray;3.028.379.953;0
747;41;F;0.0;89;37126;0;0;Rent;20121;2/15/2015;Sunday;Local;0;1.0;39;Broker;1;6.000.598.928;3.0;Compact;11.927.366.329.999.900;silver;8.469.292.215.000.000;1
751;43;M;0.0;69;37624;1;0;Own;50055;7/25/2015;Saturday;Local;0;0.0;76;Phone;1;4.291.684.782;4.0;Large;2.599.671.332;gray;2.122.544.804;0
752;59;F;1.0;62;40773;1;0;Own;85027;04/08/2015;Wednesday;Local;1;1.0;84;Broker;0;2.188.577.568;6.0;Large;1.934.089.316;red;2.342.133.758;0
754;27;M;1.0;87;32958;1;1;Rent;50008;8/19/2015;Wednesday;Highway;0;0.0;4;Online;1;3.663.585.816;7.0;Compact;5.675.683.972.999.990;white;9.086.166.772;1
755;41;F;1.0;61;37125;1;1;Own;50056;09/04/2016;Sunday;Parking Lot;1;0.0;94;Broker;1;36.622.446.210.000.000;5.0;Medium;384.370.125;black;1.820.588.164;0
756;45;M;0.0;97;38054;1;0;Own;50013;01/01/2015;Thursday;Local;0;0.0;35;Broker;1;322.950.459;6.0;Medium;2.999.166.588;other;195.296.186;0
758;39;M;1.0;61;36641;1;1;Rent;50057;8/25/2015;Tuesday;Local;0;1.0;100;Phone;0;8.124.365.014;4.0;Large;1.257.411.307;other;3.303.570.229;0
759;50;M;1.0;90;39113;1;1;Rent;20117;8/16/2016;Tuesday;Highway;0;0.0;55;Online;1;285.601.186;4.0;Large;1.328.496.323;white;3.751.789.462;0
760;57;F;1.0;53;40418;1;0;Own;15007;09/03/2015;Thursday;Local;1;0.0;94;Broker;1;7.413.466.205;6.0;Compact;21.806.006.859.999.900;red;6.639.744.909;0
762;32;F;1.0;81;34665;0;1;Rent;20103;04/05/2015;Sunday;Parking Lot;0;1.0;92;Broker;1;3.390.083.819;5.0;Large;33.396.486.769.999.900;red;138.206.715;0
764;49;F;1.0;76;38924;0;1;Own;85044;12/10/2015;Thursday;Highway;1;0.0;0;Phone;1;11.101.931.120.000.000;5.0;Large;155.223.784;blue;1.081.795.415;0
766;35;M;1.0;57;35567;1;0;Own;15010;1/24/2016;Sunday;Highway;1;1.0;50;Phone;1;1.088.714.327;5.0;Medium;13.512.532.669.999.900;white;61.873.432.810.000.000;0
767;59;M;1.0;80;40768;1;1;Own;15060;12/04/2016;Sunday;Parking Lot;0;0.0;51;Phone;1;3.582.393.229;6.0;Compact;6.910.029.172;other;261.862.907;0
769;37;M;0.0;80;36112;1;0;Rent;20104;04/01/2016;Friday;Parking Lot;0;0.0;98;Broker;0;1.163.655.591;3.0;Medium;13.753.424.790.000.000;red;4.313.038.962;0
770;39;F;1.0;81;36617;1;0;Rent;15035;02/06/2016;Saturday;Local;0;0.0;3;Broker;0;256.340.203;4.0;Compact;2.238.763.944;gray;6.383.254.234;0
773;55;M;0.0;77;40071;0;1;Own;85034;1/15/2016;Friday;Local;0;1.0;100;Broker;0;2.569.685.464;3.0;Medium;4.784.171.471;white;28.526.851.560.000.000;0
776;65;M;1.0;88;41739;0;0;Rent;20120;3/26/2016;Saturday;Local;1;0.0;5;Phone;0;5.559.684.055;4.0;Compact;1.076.243.548;blue;10.575.164.009.999.900;0
777;22;F;0.0;74;30920;0;0;Rent;15049;04/10/2015;Friday;Parking Lot;0;0.0;47;Online;0;3.377.880.322;9.0;Medium;16.214.892.740.000.000;white;3.718.820.837;0
778;62;F;0.0;95;41289;1;1;Rent;15038;5/25/2015;Monday;Local;0;0.0;51;Broker;1;36.276.226.070.000.000;7.0;Compact;11.508.496.790.000.000;black;14.660.864.759.999.900;0
780;33;M;0.0;79;34983;1;0;Rent;15009;8/24/2015;Monday;Parking Lot;0;0.0;46;Broker;1;1.049.218.138;3.0;Large;1.147.834.315;white;1.204.850.157;0
781;50;F;1.0;69;39107;1;0;Own;85027;4/20/2016;Wednesday;Local;1;0.0;92;Phone;1;33.318.867.809.999.900;5.0;Large;8.903.735.975;blue;3.056.046.375;0
783;33;F;0.0;66;34949;1;1;Own;85009;06/02/2015;Tuesday;Parking Lot;0;;76;Broker;1;1.226.621.282;4.0;Medium;203.736.202;white;43.270.395.619.999.900;0
784;43;M;1.0;78;37624;0;1;Rent;15014;12/31/2015;Thursday;Local;0;0.0;93;Broker;0;6.076.625.623;9.0;Large;835.282.213;gray;20.869.177.669.999.900;1
787;31;M;0.0;54;34340;1;1;Own;20146;5/18/2016;Wednesday;Local;0;0.0;88;Broker;1;4.703.531.646;7.0;Medium;8.594.006.206;gray;28.719.914.080.000.000;0
788;40;M;1.0;78;36901;0;1;Rent;85062;10/12/2015;Monday;Local;0;0.0;55;Phone;0;6.761.674.881;2.0;Compact;26.877.816.000.000.000;red;2.014.119.383;1
790;52;M;0.0;68;39505;0;0;Own;85016;08/01/2015;Saturday;Parking Lot;3;0.0;5;Phone;1;7.261.426.098.000.000;4.0;Medium;2.345.639.844;blue;4.256.120.953;0
792;29;M;1.0;95;33687;1;1;Rent;20101;9/16/2015;Wednesday;Local;0;0.0;0;Phone;0;8.188.491.084;4.0;Compact;2.426.770.564;silver;1.824.386.564;0
793;30;M;1.0;19;34027;1;0;Rent;85008;08/03/2015;Monday;Highway;0;0.0;99;Phone;0;7.254.650.595;6.0;Medium;1.398.785.605;silver;24.385.925.580.000.000;1
794;31;M;1.0;45;34344;1;1;Own;50028;3/20/2015;Friday;Local;0;0.0;13;Broker;1;3.552.214.203;7.0;Compact;2.575.283.664;white;31.153.484.139.999.900;0
796;43;M;0.0;80;37609;1;1;Own;50001;1/16/2016;Saturday;Local;0;1.0;65;Phone;0;1.014.276.245;7.0;Medium;1.642.290.207;white;1.716.542.793;1
797;22;M;0.0;68;30920;1;0;Rent;20135;10/04/2015;Sunday;Local;1;0.0;53;Online;0;346.225.814;2.0;Medium;27.727.359.080.000.000;gray;4.932.488.645;1
798;41;F;1.0;79;37130;1;1;Own;15035;8/13/2016;Saturday;Parking Lot;0;0.0;25;Broker;1;4.873.128.501;7.0;Medium;199.762.855;other;17.706.136.290.000.000;0
799;41;M;1.0;88;37140;1;1;Own;85027;4/20/2016;Wednesday;Local;0;0.0;50;Phone;0;5.405.582.773;5.0;Compact;381.581.679;blue;4.259.359.267;1
802;54;M;1.0;92;39884;1;1;Own;15024;3/17/2016;Thursday;Parking Lot;0;0.0;85;Phone;1;4.132.540.605;7.0;Medium;39.068.955.030.000.000;gray;10.290.704.259.999.900;0
803;53;M;1.0;70;39688;1;1;Own;50005;11/10/2015;Tuesday;Parking Lot;0;0.0;2;Phone;0;3.882.239.933;9.0;Large;8.469.318.112;other;2.076.114.216;0
805;33;F;0.0;95;34973;1;0;Own;20105;10/05/2015;Monday;Local;0;0.0;40;Broker;0;1.555.178.012;4.0;Compact;20.719.357.809.999.900;red;4.725.703.173;0
806;42;F;1.0;79;37364;1;0;Own;15009;08/10/2015;Monday;Parking Lot;0;0.0;2;Broker;0;5.109.135.158;4.0;Medium;2.499.451.087;red;1.924.338.191;1
809;47;F;1.0;52;38509;0;1;Own;80021;04/09/2015;Thursday;Highway;2;0.0;3;Broker;1;37.079.337.179.999.900;3.0;Medium;27.362.658.580.000.000;black;5.138.097.247;0
810;31;F;1.0;68;34337;0;1;Own;15026;6/13/2015;Saturday;Parking Lot;1;0.0;50;Broker;1;3.877.642.043;5.0;Medium;27.628.219.230.000.000;gray;1.092.559.027;0
811;53;M;1.0;43;39700;1;1;Rent;20149;9/18/2016;Sunday;Local;0;0.0;14;Phone;1;9.820.941.148;0.0;Compact;1.932.065.388;blue;1.254.048.156;0
812;29;F;1.0;81;33654;0;1;Rent;50055;10/16/2015;Friday;Parking Lot;0;0.0;0;Online;0;6.357.472.286;5.0;Compact;4.649.688.031.000.000;other;1.343.491.339;0
813;34;M;0.0;69;35247;0;1;Rent;50040;01/08/2015;Thursday;Local;0;0.0;20;Phone;1;6.547.056.252;6.0;Large;338.048.703;other;30.415.644.460.000.000;0
814;41;M;0.0;96;37135;1;0;Rent;20156;12/10/2016;Saturday;Parking Lot;0;0.0;33;Online;0;37.712.635.520.000.000;6.0;Compact;3.109.659.708;black;2.402.370.478;0
817;48;M;1.0;84;38711;1;0;Rent;85024;10/08/2015;Thursday;Local;0;1.0;95;Broker;0;57.405.510.890.000.000;5.0;Compact;2.909.705.015;blue;1.942.985.683;0
819;47;M;1.0;68;38512;1;0;Own;15025;12/07/2015;Monday;Parking Lot;0;0.0;86;Phone;1;4.550.719.175;6.0;Compact;6.187.543.063;black;1.846.041.879;0
820;58;F;1.0;82;40620;1;1;Own;20118;12/19/2015;Saturday;Highway;0;0.0;36;Phone;0;6.685.530.018;2.0;Medium;4.449.374.188;gray;39.739.919.170.000.000;0
821;30;M;1.0;77;34011;1;1;Rent;85064;2/29/2016;Monday;Parking Lot;0;0.0;34;Broker;1;5.927.480.225;8.0;Large;31.276.698.160.000.000;blue;9.495.541.979.000.000;0
822;44;F;0.0;84;37843;1;1;Own;80022;6/19/2016;Sunday;Highway;0;1.0;22;Broker;0;5.432.196.628;8.0;Medium;2.645.842.759;gray;1.045.779.133;1
823;29;F;0.0;65;33677;0;0;Rent;15012;01/02/2015;Friday;Local;0;;13;Online;1;11.350.403.919.999.900;5.0;Large;2.091.765.995;gray;2.868.814.726;0
824;39;F;1.0;71;36647;1;0;Own;20160;3/29/2016;Tuesday;Highway;0;1.0;100;Broker;1;7.616.357.147;6.0;Medium;2.572.348.706;other;4.400.734.184;0
825;49;M;1.0;77;38916;0;1;Own;20122;07/12/2016;Tuesday;Local;2;0.0;99;Phone;1;4.766.909.436;6.0;Medium;1.774.052.655;other;1.235.582.083;0
826;39;F;1.0;77;36640;1;1;Own;85046;10/29/2016;Saturday;Highway;0;0.0;2;Broker;0;7.540.724.062;4.0;Large;1.265.708.396;other;1.715.798.453;0
828;45;F;0.0;66;38066;0;1;Own;85069;08/01/2015;Saturday;Local;0;0.0;100;Phone;1;2.471.653.768;5.0;Large;6.889.895.398.999.990;black;2.388.184.373;0
829;54;F;1.0;70;39885;1;1;Own;20153;11/18/2015;Wednesday;Parking Lot;0;0.0;66;Broker;1;6.742.899.018.000.000;7.0;Medium;2.327.604.152;gray;2.108.535.417;0
830;50;M;1.0;79;39135;1;0;Own;85011;07/02/2016;Saturday;Local;1;0.0;96;Phone;1;7.118.870.853;5.0;Medium;1.210.023.945;other;241.061.368;0
831;44;M;0.0;73;37842;1;1;Own;20129;07/10/2016;Sunday;Parking Lot;0;0.0;47;Phone;0;6.242.804.271;6.0;Large;1.642.291.684;silver;1.961.586.551;0
832;49;M;1.0;81;38903;0;0;Own;50020;11/25/2016;Friday;Highway;0;0.0;49;Phone;1;3.280.738.812;7.0;Large;2.008.123.675;blue;1.157.122.708;0
833;41;M;0.0;55;37135;0;1;Own;85007;7/13/2015;Monday;Highway;2;1.0;86;Broker;1;7.359.273.095.999.990;3.0;Compact;279.548.202;blue;2.482.848.635;0
836;37;F;0.0;66;36110;1;1;Rent;20146;12/27/2015;Sunday;Parking Lot;2;0.0;98;Broker;1;4.120.105.694;7.0;Compact;5.671.605.451;black;18.004.784.069.999.900;0
837;32;F;1.0;88;34675;0;1;Own;20135;7/15/2015;Wednesday;Parking Lot;1;0.0;51;Online;1;34.232.348.880.000.000;2.0;Large;2.410.948.799;white;1.333.380.475;0
838;41;F;1.0;63;37124;1;1;Own;15009;1/31/2016;Sunday;Parking Lot;0;0.0;37;Phone;0;5.961.493.121;6.0;Large;1.812.186.493;other;172.591.243;1
839;37;M;1.0;85;36108;0;0;Own;15035;12/12/2015;Saturday;Local;3;0.0;50;Phone;1;4.729.401.935;8.0;Compact;1.904.898.083;other;20.773.103;0
840;58;F;1.0;67;40609;0;1;Rent;20124;11/01/2016;Tuesday;Local;2;1.0;49;Broker;1;7.163.436.973.000.000;3.0;Large;2.420.552.838;gray;2.545.943.919;0
841;28;M;0.0;79;33327;1;1;Rent;80031;09/04/2015;Friday;Local;1;0.0;49;Online;1;3.588.526.632;4.0;Medium;11.860.942;silver;2.975.796.737;1
842;52;F;1.0;93;39496;0;0;Own;85006;09/03/2016;Saturday;Local;2;0.0;97;Broker;0;7.864.429.948.999.990;3.0;Compact;2.144.471.999;silver;2.010.441.476;0
843;41;M;0.0;94;37131;0;0;Rent;15021;07/11/2015;Saturday;Local;0;;51;Broker;1;3.368.042.328;6.0;Compact;12.213.737.079.999.900;white;2.338.472.556;0
844;24;F;0.0;56;31782;1;0;Rent;50048;9/22/2015;Tuesday;Local;1;0.0;49;Online;1;388.992.792;8.0;Compact;3.732.816.574;white;13.015.620.340.000.000;0
845;66;F;1.0;96;41890;1;1;Rent;50025;8/15/2016;Monday;Parking Lot;0;0.0;0;Broker;1;2.935.133.008;8.0;Medium;1.778.736.764;black;20.464.839.930.000.000;0
846;55;M;1.0;72;40076;1;1;Own;80002;08/04/2016;Thursday;Local;1;0.0;0;Broker;1;2.620.891.048;3.0;Large;188.574.808;black;2.421.230.013;0
848;54;F;1.0;62;39909;1;1;Rent;85024;5/19/2016;Thursday;Highway;1;0.0;12;Broker;1;3.932.447.739;6.0;Compact;2.475.910.803;white;35.609.279.669.999.900;0
849;25;F;1.0;76;32186;1;1;Rent;85053;11/25/2015;Wednesday;Highway;0;0.0;4;Online;1;5.224.931.568.999.990;3.0;Large;145.319.166;other;1.113.336.378;0
851;49;F;1.0;91;38914;1;1;Own;50007;7/19/2015;Sunday;Local;0;0.0;55;Broker;0;7.215.412.325;4.0;Large;194.362.361;silver;2.390.958.288;0
852;65;M;1.0;53;41758;1;0;Rent;15025;01/02/2015;Friday;Local;2;0.0;76;Broker;1;2.953.905.353;7.0;Large;1.534.818.422;white;229.025.062;0
854;45;M;1.0;70;38066;0;1;Own;20148;7/28/2015;Tuesday;Local;0;0.0;5;Broker;1;6.230.966.808;6.0;Compact;24.731.153.580.000.000;blue;8.751.479.763;1
855;41;M;1.0;58;37159;1;1;Own;85072;05/12/2016;Thursday;Local;0;1.0;76;Broker;0;7.079.582.067;5.0;Compact;2.470.437.844;blue;4.087.986.818;0
856;75;M;1.0;92;43186;1;1;Own;50026;06/07/2016;Tuesday;Local;0;0.0;99;Broker;0;2.065.446.529;2.0;Large;1.939.508.935;black;4.230.347.442;0
857;60;F;1.0;75;40934;1;1;Own;50037;6/28/2015;Sunday;Local;5;1.0;1;Phone;1;7.799.193.212;3.0;Large;26.601.711.369.999.900;other;9.266.474.484;0
859;36;F;0.0;50;35848;1;1;Own;15012;10/02/2015;Friday;Parking Lot;0;0.0;14;Broker;0;4.565.677.772.999.990;10.0;Large;376.095.918;red;43.954.004.660.000.000;0
860;55;F;1.0;86;40071;0;1;Rent;50047;7/19/2015;Sunday;Local;2;0.0;25;Broker;1;31.603.592.350.000.000;5.0;Medium;1.711.599.602;black;293.488.161;1
863;49;F;1.0;52;38915;1;0;Rent;85083;2/18/2015;Wednesday;Parking Lot;1;1.0;36;Phone;0;1.433.134.026;6.0;Medium;17.753.151.130.000.000;gray;2.112.393.645;0
865;30;F;1.0;79;34015;1;1;Own;50025;03/12/2015;Thursday;Local;0;1.0;88;Broker;1;4.852.651.376;4.0;Medium;1.329.705.047;blue;24.061.561.840.000.000;0
866;36;F;1.0;96;35840;1;1;Own;20165;12/11/2015;Friday;Highway;0;1.0;0;Broker;0;5.394.095.598;3.0;Medium;2.610.455.111;black;2.429.650.888;0
869;32;M;1.0;89;34654;1;1;Own;50059;1/22/2015;Thursday;Local;0;1.0;42;Phone;1;5.637.263.586;12.0;Large;2.123.376.048;blue;1.071.788.006;0
870;30;F;0.0;91;34013;1;1;Rent;85033;02/08/2015;Sunday;Local;0;0.0;56;Broker;1;39.341.007.799.999.900;2.0;Large;1.188.235.073;blue;1.808.070.638;0
871;26;M;0.0;82;32576;1;1;Rent;15060;1/23/2015;Friday;Local;1;0.0;2;Online;1;59.972.940.929.999.900;5.0;Medium;1.686.207.694;red;3.761.775.153;0
872;55;M;0.0;64;40058;1;0;Own;80041;11/10/2015;Tuesday;Local;2;0.0;30;Broker;1;24.798.806.280.000.000;3.0;Compact;2.238.181.238;other;2.318.079.444;0
877;60;F;1.0;39;40958;1;1;Rent;20111;02/07/2015;Saturday;Local;0;1.0;2;Broker;0;8.376.875.178;7.0;Medium;2.124.512.599;black;2.446.876.772;1
879;29;F;0.0;60;33672;1;0;Own;80041;6/22/2015;Monday;Local;1;0.0;35;Phone;0;6.199.220.434.000.000;5.0;Compact;50.863.598.139.999.900;white;9.084.635.051.000.000;0
881;46;M;1.0;76;38287;0;0;Rent;85003;5/27/2015;Wednesday;Parking Lot;1;0.0;25;Broker;0;7.443.009.838;3.0;Medium;1.745.540.605;gray;1.761.773.447;0
882;41;F;1.0;87;37158;1;1;Own;20151;12/05/2016;Monday;Local;0;0.0;24;Broker;1;66.053.047.289.999.900;4.0;Medium;5.324.591.742;blue;3.138.737.971;0
883;24;F;1.0;80;31785;1;1;Own;20149;03/05/2015;Thursday;Local;0;0.0;0;Broker;0;8.043.916.372;4.0;Compact;1.510.197.742;black;1.601.190.041;0
885;32;F;0.0;59;34670;1;0;Own;20102;5/26/2016;Thursday;Local;0;1.0;49;Broker;0;5.035.845.601;3.0;Medium;9.420.728.761;other;36.507.513.719.999.900;0
886;49;M;1.0;64;38916;1;1;Rent;80109;12/20/2016;Tuesday;Local;0;0.0;0;Broker;1;3.457.562.285;6.0;Medium;2.233.672.046;blue;31.383.803.239.999.900;0
890;59;F;1.0;65;40767;1;0;Rent;85060;11/11/2015;Wednesday;Highway;0;1.0;99;Phone;1;6.605.621.199;7.0;Medium;1.930.999.194;other;325.102.146;0
891;44;F;0.0;82;37832;0;0;Own;80019;11/01/2015;Sunday;Local;0;0.0;28;Broker;1;1.314.580.827;5.0;Medium;1.725.283.234;black;27.531.750.819.999.900;1
892;45;F;1.0;71;38065;1;0;Rent;85017;05/09/2016;Monday;Parking Lot;0;0.0;50;Broker;0;5.108.367.913;9.0;Compact;3.652.545.215;other;1.828.828.922;0
894;53;F;1.0;43;39704;1;0;Rent;20148;3/30/2016;Wednesday;Parking Lot;0;0.0;46;Broker;1;5.641.596.296;6.0;Large;2.548.933.987;blue;15.778.862;0
895;52;M;0.0;46;39502;1;1;Own;85037;11/23/2016;Wednesday;Local;0;0.0;100;Broker;0;7.662.118.558;3.0;Large;1.664.052.429;red;916.037.342;0
897;36;M;1.0;90;35836;0;1;Own;85020;4/19/2016;Tuesday;Parking Lot;0;1.0;81;Phone;1;4.358.390.162;4.0;Compact;3.769.858.411;red;45.631.481.439.999.900;0
899;34;M;1.0;84;35265;1;0;Rent;50021;01/02/2015;Friday;Parking Lot;0;0.0;0;Broker;1;2.122.062.181;6.0;Medium;37.236.197.680.000.000;blue;1.817.266.939;0
900;39;M;1.0;78;36650;1;1;Own;15046;7/14/2016;Thursday;Highway;1;0.0;71;Broker;1;4.964.937.192;12.0;Medium;42.620.924.210.000.000;red;2.020.672.932;1
901;25;M;1.0;83;32190;1;0;Rent;20118;4/22/2016;Friday;Highway;2;1.0;51;Online;0;38.118.449.189.999.900;3.0;Large;35.642.078.089.999.900;blue;2.488.297.025;0
904;27;M;1.0;51;32975;0;1;Rent;20113;6/18/2015;Thursday;Parking Lot;0;0.0;100;Online;0;410.197.409;6.0;Large;220.425.172;black;14.170.775.740.000.000;0
906;43;M;1.0;63;37619;0;1;Rent;20156;3/23/2016;Wednesday;Parking Lot;0;0.0;66;Broker;1;6.761.553.295.000.000;4.0;Compact;6.722.661.244;other;50.239.403.289.999.900;0
907;38;M;1.0;90;36371;1;1;Rent;80106;5/21/2016;Saturday;Local;0;0.0;0;Broker;1;6.905.260.809;7.0;Compact;1.925.224.451;blue;2.972.272.122;0
908;42;F;1.0;83;37393;1;1;Rent;80013;8/31/2016;Wednesday;Highway;0;1.0;87;Broker;1;521.826.532;8.0;Compact;5.628.725.087;gray;3.555.934.099;0
909;46;M;1.0;81;38283;0;1;Own;80021;11/25/2016;Friday;Local;0;0.0;10;Broker;0;4.456.632.611;10.0;Large;21.822.326.259.999.900;black;2.332.482.368;0
910;28;M;1.0;82;33335;1;1;Rent;15035;06/07/2016;Tuesday;Parking Lot;0;0.0;67;Online;1;40.935.583.469.999.900;5.0;Large;14.264.285.409.999.900;red;327.248.096;0
911;39;F;1.0;63;36627;0;0;Rent;85010;06/06/2016;Monday;Local;0;0.0;26;Broker;1;2.467.917.629;3.0;Large;20.024.183.119.999.900;other;1.951.798.606;1
912;56;F;1.0;84;40282;1;0;Rent;15005;9/19/2016;Monday;Highway;1;0.0;76;Phone;1;4.026.400.559;3.0;Compact;2.600.143.446;blue;1.332.695.768;0
913;39;M;0.0;87;36622;1;1;Own;15010;11/08/2016;Tuesday;Local;0;0.0;0;Broker;0;5.031.878.499;5.0;Large;147.068.444;silver;1.115.357.523;0
919;51;M;1.0;59;39334;1;0;Rent;20158;4/16/2016;Saturday;Local;0;1.0;83;Broker;1;247.560.201;3.0;Large;1.377.494.601;gray;7.301.230.059.999.990;0
925;48;M;1.0;70;38708;1;0;Rent;20121;8/24/2016;Wednesday;Parking Lot;0;0.0;3;Broker;1;8.121.419.417;8.0;Compact;6.223.054.966;gray;6.263.349.107.999.990;0
926;63;F;0.0;79;41428;0;1;Own;85016;8/30/2015;Sunday;Parking Lot;2;0.0;96;Online;0;4.086.331.639;6.0;Compact;1.957.934.754;blue;2.003.045.147;0
928;54;M;1.0;90;39884;1;0;Rent;20132;09/01/2016;Thursday;Local;0;0.0;19;Broker;1;25.791.249.780.000.000;6.0;Large;177.029.847;red;2.225.251.166;0
929;39;M;0.0;93;36642;0;1;Own;50013;11/29/2015;Sunday;Local;1;0.0;2;Broker;0;399.925.891;5.0;Compact;2.393.364.458;black;1.520.910.224;0
930;46;M;1.0;74;38275;1;1;Rent;50039;07/01/2016;Friday;Highway;0;0.0;61;Phone;0;6.770.426.909.000.000;6.0;Compact;1.941.941.673;silver;5.811.776.914;1
931;45;M;0.0;74;38074;1;1;Rent;85074;01/06/2015;Tuesday;Local;0;0.0;54;Broker;1;2.671.424.199;5.0;Compact;1.209.325.487;silver;1.084.546.809;0
933;28;F;1.0;79;33326;1;0;Rent;15012;04/11/2015;Saturday;Highway;1;0.0;70;Online;1;4.926.129.043.999.990;11.0;Medium;194.682.645;gray;3.199.213.075;0
935;43;F;1.0;49;37604;1;1;Rent;15050;07/11/2015;Saturday;Local;0;0.0;100;Phone;1;1.446.182.636;6.0;Large;1.278.588.308;black;1.039.659.595;1
936;24;F;0.0;65;31775;1;0;Rent;85019;3/29/2016;Tuesday;Highway;0;0.0;32;Online;1;78.481.897.659.999.900;3.0;Medium;1.558.460.535;black;1.137.340.409;0
941;55;F;1.0;56;40071;1;1;Own;15028;08/09/2016;Tuesday;Highway;0;0.0;5;Broker;1;19.776.689.379.999.900;7.0;Large;6.457.920.139;red;2.045.633.756;1
942;46;M;1.0;91;38291;0;0;Rent;80033;07/03/2015;Friday;Local;0;0.0;89;Phone;1;285.104.639;6.0;Compact;1.360.101.144;red;2.071.101.256;0
943;52;M;1.0;78;39517;0;1;Rent;85072;04/08/2015;Wednesday;Highway;1;0.0;52;Broker;0;2.076.887.056;3.0;Large;39.324.660.130.000.000;other;2.974.602.777;1
944;49;M;0.0;93;38901;1;1;Own;85061;03/09/2015;Monday;Local;0;0.0;84;Phone;0;5.986.192.836;5.0;Compact;2.022.387.821;white;2.360.031.145;0
945;53;F;1.0;66;39707;1;1;Rent;85001;10/25/2016;Tuesday;Parking Lot;0;0.0;34;Phone;1;216.172.553;6.0;Medium;1.935.070.448;white;4.842.534.484;0
947;29;M;1.0;92;33681;1;0;Rent;20134;01/07/2015;Wednesday;Parking Lot;0;0.0;19;Online;0;6.609.208.961;8.0;Large;25.829.898.259.999.900;red;822.770.147;0
950;57;M;1.0;93;40403;0;1;Rent;20116;7/16/2016;Saturday;Parking Lot;0;0.0;60;Online;1;7.417.649.534;8.0;Medium;33.350.809.030.000.000;gray;2.554.442.898;0
951;42;F;1.0;89;37373;1;0;Own;20165;12/31/2016;Saturday;Highway;0;0.0;4;Broker;0;70.875.379.379.999.900;8.0;Medium;1.213.024.985;blue;428.535.624;0
952;46;M;1.0;45;38267;0;1;Rent;80033;11/18/2015;Wednesday;Local;0;0.0;13;Phone;1;3.697.533.168;11.0;Medium;4.960.140.577;other;21.003.008.719.999.900;0
953;41;F;1.0;85;37144;1;1;Rent;15021;8/25/2015;Tuesday;Parking Lot;0;0.0;4;Online;0;4.079.061.096;8.0;Large;29.902.496.610.000.000;other;2.758.961.322;0
954;35;F;1.0;78;35548;1;1;Rent;50031;04/04/2016;Monday;Local;0;1.0;4;Broker;1;4.172.476.538;5.0;Compact;2.806.928.956;red;13.594.995.069.999.900;0
955;37;M;0.0;72;36097;1;1;Own;80012;1/29/2015;Thursday;Parking Lot;0;0.0;9;Phone;1;26.085.481.010.000.000;6.0;Large;1.738.980.934;red;1.062.783.476;1
956;50;M;1.0;82;39116;1;1;Own;85030;7/26/2015;Sunday;Local;0;1.0;99;Broker;0;5.720.512.279;5.0;Medium;144.414.156;white;1.787.211.451;0
957;48;F;0.0;80;38687;0;0;Own;20156;06/10/2016;Friday;Highway;0;0.0;69;Phone;0;2.118.743.416;3.0;Medium;2.641.771.759;black;9.759.645.037.999.990;0
960;47;M;1.0;87;38493;0;0;Rent;85048;09/12/2015;Saturday;Highway;0;1.0;12;Phone;1;5.337.843.821;6.0;Medium;2.412.886.396;gray;1.778.389.553;0
962;22;F;1.0;86;30913;1;0;Rent;85055;8/25/2015;Tuesday;Highway;0;0.0;46;Online;0;4.537.002.598;5.0;Medium;15.407.940.169.999.900;red;2.164.978.922;0
963;48;F;1.0;73;38696;1;1;Own;80024;10/23/2016;Sunday;Parking Lot;0;0.0;83;Broker;0;3.197.985.956;2.0;Large;15.502.110.480.000.000;gray;3.227.241.862;0
964;35;F;1.0;39;35555;1;1;Own;20104;02/07/2016;Sunday;Local;1;0.0;83;Phone;1;9.574.552.403;6.0;Compact;28.167.886.919.999.900;silver;141.259.524;0
966;28;M;1.0;90;33350;1;1;Rent;80028;06/09/2016;Thursday;Highway;0;0.0;74;Online;0;26.909.273.949.999.900;7.0;Compact;46.289.533.489.999.900;blue;1.570.105.858;0
967;40;M;1.0;72;36870;1;0;Rent;50038;11/06/2015;Friday;Local;0;0.0;25;Broker;1;4.004.587.977;6.0;Medium;5.431.472.954;silver;1.210.937.005;1
970;39;M;0.0;39;36631;0;0;Own;50011;10/22/2016;Saturday;Highway;0;1.0;2;Broker;1;5.342.289.411;4.0;Compact;1.005.510.195;blue;192.264.305;1
972;33;F;1.0;83;34966;1;0;Own;80034;10/03/2015;Saturday;Parking Lot;0;0.0;8;Broker;0;35.002.080.590.000.000;12.0;Medium;19.789.826.090.000.000;white;3.155.190.857;0
973;41;M;1.0;82;37136;1;0;Own;15007;06/08/2016;Wednesday;Parking Lot;1;0.0;57;Online;1;48.926.253.799.999.900;5.0;Large;4.039.050.429;other;33.058.929.619.999.900;0
974;38;M;1.0;60;36373;1;1;Rent;85066;5/30/2016;Monday;Local;0;0.0;27;Broker;0;6.573.165.793;4.0;Large;4.424.936.395.000.000;other;1.024.695.132;0
